Players ^nns++++=Players
dividing ^xvbg+++xvbg+=dividing
it ^pp3+it+++=it
by ^in++++=by
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
original ^jj+atrb+++=original
presence ^nn++++=presence
value ^nn++++=value
( ^zz++++=(ranging
ranging ^vbg+++xvbg+=EXTRAWORD
from ^in++++=from
1 ^zz++++=1
to ^to++++=to
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
divided ^vpsv++by+xvbnx+=divided
by ^in++++=by
the ^ati++++=the
adjusted ^jj+atrb++xvbn+=adjusted
maximum ^nn++++=maximum
value ^nn++++=value
to ^to++++=to
yield ^vbi++++=yield
the ^ati++++=the
standardized ^nn+++??+=standardized
presence ^nn++++=presence
value ^nn++++=value
for ^in++++=for
the ^ati++++=the
Pmsl ^np+++??+=PMSL
factor ^nn++++=factor.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
standardization ^nn++++=standardization
procedure ^nn++++=procedure
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
all ^abn++++=all
presence ^nn++++=presence
values ^nns++++=values
for ^in++++=for
all ^abn++++=all
participants ^nns++++=participants
across ^in+pl+++=across
all ^abn++++=all
events ^nns++++=events.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mean ^jj+atrb+++=mean
standardized ^nn+++??+=standardized
presence ^nn++++=presence
values ^nns++++=values
for ^in++++=for
each ^ppls++++=each
pmsl ^np++++=PMSL
factor ^nn++++=factor
were ^vbd+bed+aux++=were
used ^vbd+++xvbn+=used
for ^in++++=for
statistical ^jj+atrb+++=statistical
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
