Many ^ap++++=Many
fruits ^nns++++=fruits
and ^cc++++=and
vegetables ^nns++++=vegetables.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
tax ^nn++++=tax
amounts ^nns++++=amounts
were ^vbd+bed+vrb++=were
similar ^jj+pred+++=similar
to ^in++++=to
those ^dt+dem+++=those
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
taxes ^nns++++=taxes
only ^rb+down+++=only
applied ^vwbn+++xvbn+=applied
to ^in++++=to
nutrients ^nns++++=nutrients
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
exceeded ^vbd+++xvbnx+=exceeded
a ^at++++=a
threshold ^nn++++=threshold
( ^zz++++=(eg,
eg ^nn+cnj++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
saturated ^jj+atrb++xvbn+=saturated
fat ^nn++++=fat
tax ^nn++++=tax
only ^rb+down+++=only
on ^in++++=on
products ^nns++++=products
with ^in++++=with
more ^rbr++++=more
than ^in++++=than
2 ^zz++++=2
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
saturated ^jj+atrb++xvbn+=saturated
fat ^nn++++=fat),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
lower ^jjr+atrb+++=lower
per ^nnu++++=per
capita ^nn+++??+=capita
health ^nn++++=health
gains ^nns++++=gains.
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
on ^rp++++=on
its ^pp$+it+++=its
own ^ap++++=own,
, ^zz++++=EXTRAWORD
a ^at++++=a
fruit ^nn++++=fruit
and ^cc++++=and
vegetable ^jj+atrb+++=vegetable
subsidy ^nn++++=subsidy
generated ^vbd+++xvbn+=generated
health ^nn++++=health
loss ^nn++++=loss
because ^cs+cos+++=because
of ^in++++=of
substitution ^nn++++=substitution
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
suspect ^vb+vprv+++=suspect
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
an ^at++++=an
expenditure ^nn++++=expenditure
constraint ^nn+++??+=constraint
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++agls+xvbnx+=used
( ^zz++++=(as
as ^ql++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
with ^in++++=with
a ^at++++=a
food ^nn++++=food
expenditure ^nn++++=expenditure
elasticity ^nn++++=elasticity),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
result ^nn++++=result
might ^md+pos+++=might
not ^xnot++not++=not
have ^vb+hv+aux++=have
occurred ^vprf+++xvbn+=occurred.
. ^zz++++=EXTRAWORD
