Most ^ql+emph+++=Most
other ^ap++++=other
than ^in++++=than
brentuximab ^nn+++??+=brentuximab
vedotin ^nn+++??+=vedotin
or ^cc++++=or
vincristine ^jj+++??+=vincristine
differed ^jj+++xvbn+=differed
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
with ^in++++=with
modifications ^nns++++=modifications
occurring ^vwbg+++xvbg+=occurring
in ^in++++=in
12.8 ^cd++++=12.8%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
9.0 ^cd++++=9.0
to ^to++++=to
16.5 ^cd+date+++=16.5)
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
patients ^nns++++=patients
in ^in++++=in
the ^ati++++=the
brentuximab ^nn+++??+=brentuximab
vedotin ^nn+++??+=vedotin
group ^nn++++=group,
, ^zz++++=EXTRAWORD
as ^in++++=as
compared ^nn++++=compared
with ^in++++=with
22.5 ^cd++++=22.5%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
17.7 ^cd+date+++=17.7
to ^to++++=to
27.3 ^cd++++=27.3)
) ^zz++++=EXTRAWORD
of ^in++++=of
those ^dt+dem+++=those
in ^in++++=in
the ^ati++++=the
standard ^nn++++=standard-care
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
group ^nn++++=group.
. ^zz++++=EXTRAWORD
