This ^dt+pdem+++=This
policies ^nns++++=policies
that ^tht+rel+subj++=that
encourage ^vb++++=encourage
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
studies ^nns++++=studies
in ^in++++=in
the ^ati++++=the
area ^nn++++=area.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
in ^in++++=in
three ^cd++++=three
digital ^jj+atrb+++=digital
platforms ^nns++++=platforms,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely
Dom ^&fw++++=Dom
nio ^nn+++??+=nio
P ^zz++++=P
blico ^nn+++??+=blico,
, ^zz++++=EXTRAWORD
Biblioteca ^np+++??+=Biblioteca
Digital ^jj++++=Digital
de ^&fw++++=de
Teses ^np+++??+=Teses
e ^zz++++=e
Disserta ^np+++??+=Disserta
es ^&fw++++=es,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Cat ^nn++++=Cat
logo ^nn+++??+=logo
de ^&fw++++=de
Teses ^np+++??+=Teses
e ^zz++++=e
Disserta ^np+++??+=Disserta
es ^&fw++++=es
da ^np++++=da
Capes ^np+++??+=CAPES,
, ^zz++++=EXTRAWORD
by ^in++++=by
means ^nn++++=means
of ^in++++=of
typing ^nn++++=typing
different ^jj+atrb+++=different
keywords ^nns+++??+=keywords
in ^in++++=in
Portuguese ^nn++++=Portuguese,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
search ^nn++++=search
windows ^nns++++=windows
available ^jj++++=available.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
14 ^cd++++=14
studies ^nns++++=studies
found ^vbd+vprv++xvbn+=found,
, ^zz++++=EXTRAWORD
28.6 ^cd++++=28.6%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
doctoral ^nn+++??+=doctoral
dissertations ^nns+++??+=dissertations
and ^cc++++=and
71.4 ^cd++++=71.4%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
master ^npt++++=master
s ^zz++++=s
theses ^nns++++=theses.
. ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
the ^ati++++=the
studies ^nns++++=studies
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
the ^ati++++=the
southeastern ^nn+++??+=southeastern
and ^cc++++=and
southern ^jj+atrb+++=southern
regions ^nns++++=regions
of ^in++++=of
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Cardiology ^np+++??+=Cardiology
and ^cc++++=and
general ^jj+atrb+++=general
biomedicine ^nn+++??+=biomedicine
were ^vbd+bed+vrb++=were
the ^ati++++=the
most ^ql+emph+++=most
frequent ^jj+atrb+++=frequent
topics ^nns++++=topics
followed ^vwbn+vprv++xvbn+=followed
by ^in++++=by
anesthesiology ^nn+++??+=anesthesiology,
, ^zz++++=EXTRAWORD
orthopedics ^nns+++??+=orthopedics,
, ^zz++++=EXTRAWORD
cardiovascular ^nn+++??+=cardiovascular
surgery ^nn++++=surgery,
, ^zz++++=EXTRAWORD
arterial ^jj+atrb+++=arterial
hypertension ^nn+++??+=hypertension,
, ^zz++++=EXTRAWORD
physiology ^nn++++=physiology,
, ^zz++++=EXTRAWORD
geriatrics ^nns++++=geriatrics,
, ^zz++++=EXTRAWORD
gerontology ^nn++++=gerontology,
, ^zz++++=EXTRAWORD
nutrition ^nn++++=nutrition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pharmacy ^nn++++=pharmacy.
. ^zz++++=EXTRAWORD
