Furthermore ^rb+cnj+++=Furthermore,
final ^jj+atrb+++=final
sizes ^nns++++=sizes
of ^in++++=of
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
and ^cc++++=and
above ^jjb++++=above
( ^zz++++=(
Fig ^np++++=Fig.
. ^zz++++=EXTRAWORD
2 ^zz++++=2
a ^at++++=a
, ^zz++++=,
column ^nn++++=column
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
green ^jj+atrb+++=green
points ^nns++++=points),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
effect ^nn++++=effect
is ^vbz+bez+aux++=is
inverted ^vpsv++agls+xvbnx+=inverted:
: ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
all ^abn++++=all
agents ^nns++++=agents
get ^vb++++=get
infected ^vbd+++xvbn+=infected
at ^rb++++=at
some ^dti++++=some
point ^nn++++=point,
, ^zz++++=EXTRAWORD
the ^ati++++=the
disease ^nn++++=disease
requires ^vbz++++=requires
more ^rbr++++=more
time ^nn++++=time
to ^in++++=to
bridge ^nn++++=bridge
between ^in++++=between
loosely ^rb++++=loosely
connected ^xvbn+++xvbn+=connected
clusters ^nns+nom+++=clusters.
. ^zz++++=EXTRAWORD
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
3 ^zz++++=3
reveals ^nns+nom+++=reveals
further ^jjb++++=further
that ^cs+sub+++=that
even ^rb++++=even
for ^in++++=for
highly ^rb+amp+++=highly
infectious ^jj+atrb+++=infectious
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
levels ^nns++++=levels
of ^in++++=of
homophily ^nn++++=homophily
produce ^vb++++=produce
smaller ^jjr+atrb+++=smaller
final ^jj+atrb+++=final
sizes ^nns++++=sizes
( ^zz++++=(
b ^zz++++=b
) ^zz++++=)
and ^cc++++=and
larger ^jjr+atrb+++=larger
average ^jj+atrb+++=average
path ^nn++++=path
lengths ^nns++++=lengths
produce ^vb++++=produce
lower ^jjr+atrb+++=lower
epidemic ^nn++++=epidemic
peaks ^nns++++=peaks
( ^zz++++=(
c ^zz++++=c
) ^zz++++=).
. ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
high ^jj++++=high-res
- ^zz++++=EXTRAWORD
res ^nns+++??+=EXTRAWORD
image ^nn++++=image
( ^zz++++=(375KB)
375kb ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Download ^np+++??+=Download:
: ^zz++++=EXTRAWORD
Download ^np+++??+=Download
full ^jj++++=full-size
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
image ^nn++++=image
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
3 ^zz++++=3
. ^zz++++=.
Interaction ^nn+nom+++=Interaction
effects ^nns++++=effects
in ^in++++=in
adaptive ^jj+atrb+++=adaptive
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
Final ^jj+atrb+++=Final
size ^nn++++=size
of ^in++++=of
epidemics ^nns++++=epidemics
decreases ^vbz++++=decreases
the ^ati++++=the
more ^ql++++=more
clustered ^jj+++xvbn+=clustered
the ^ati++++=the
networks ^nns++++=networks
( ^zz++++=(
a ^at++++=a
) ^zz++++=)
and ^cc++++=and
the ^ati++++=the
lower ^jjr++++=lower
the ^ati++++=the
infectivity ^nn+nom+++=infectivity
( ^zz++++=(
b ^zz++++=b
) ^zz++++=).
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
larger ^jjr+atrb+++=larger
degrees ^nns+nom+++=degrees
of ^in++++=of
health ^nn++++=health
behavior ^nn++++=behavior
homophily ^jj++++=homophily
( ^zz++++=(darker
darker ^jjr+atrb+++=EXTRAWORD
red ^jj+atrb+++=red
lines ^nns++++=lines)
) ^zz++++=EXTRAWORD
create ^vb++++=create
lower ^jjr+atrb+++=lower
numbers ^nns+nom+++=numbers
of ^in++++=of
infections ^nns+nom+++=infections.
. ^zz++++=EXTRAWORD
Epidemic ^nn++++=Epidemic
peak ^nn++++=peak
size ^nn++++=size
increases ^nns++++=increases
the ^ati++++=the
higher ^jjr++++=higher
the ^ati++++=the
infectivity ^nn+nom+++=infectivity
( ^zz++++=(
c ^zz++++=c
) ^zz++++=)
and ^cc++++=and
the ^ati++++=the
shorter ^jjr++++=shorter
the ^ati++++=the
average ^jj+atrb+++=average
path ^nn++++=path
length ^nn++++=length
( ^zz++++=(light
light ^jj+atrb+++=EXTRAWORD
purple ^jj+atrb+++=purple
line ^nn++++=line).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
( ^zz++++=(For
for ^in++++=EXTRAWORD
interpretation ^nn+nom+++=interpretation
of ^in++++=of
the ^ati++++=the
references ^nns+nom+++=references
to ^in++++=to
color ^nn++++=color
in ^in++++=in
this ^dt+dem+++=this
figure ^nn++++=figure
legend ^nn++++=legend,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reader ^nn++++=reader
is ^vbz+bez+aux++=is
referred ^vbd+++xvbn+=referred
to ^in++++=to
the ^ati++++=the
web ^nn++++=Web
version ^nn++++=version
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
