Predictor ^nn++++=Predictor
Lgbt ^np+++??+=LGBT
community ^nn+nom+++=community
, ^zz++++=,
on ^in++++=on
a ^at++++=a
4 ^zz++++=4-point
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
scale ^nn++++=scale;
; ^zz++++=EXTRAWORD
= ^zz++++==
0.80 ^nn+++??+=0.80).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Perception ^nn+nom+++=Perception
of ^in++++=of
group ^nn++++=group-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
discrimination ^nn+nom+++=discrimination
was ^vbd+bedz+aux++=was
assessed ^vpsv++agls+xvbnx+=assessed
with ^in++++=with
six ^cd++++=six
items ^nns++++=items
tapping ^vwbg+++xvbg+=tapping
participants ^nns+nom+++=participants'
' ^zz++++=EXTRAWORD
expectations ^nns+nom+++=expectations
of ^in++++=of
rejection ^nn+nom+++=rejection
and ^cc++++=and
discrimination ^nn+nom+++=discrimination
of ^in++++=of
sexual ^jj+atrb+++=sexual
minorities ^nns+nom+++=minorities
as ^in++++=as
a ^at++++=a
group ^nn++++=group
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
people ^nns++++=people
would ^md+prd+++=would
willingly ^rb++splt++=willingly
accept ^vb+vprv+++=accept
[ ^zz++++=[a
a ^at++++=EXTRAWORD
gay ^jj+atrb+++=gay
man ^nn++++=man]
] ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
close ^jj+atrb+++=close
friend ^nn++++=friend
) ^zz++++=)
on ^in++++=on
a ^at++++=a
4 ^zz++++=4-point
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
scale ^nn++++=scale
( ^zz++++=(
= ^zz++++==
0.88 ^nn+++??+=0.88).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Perception ^nn+nom+++=Perception
of ^in++++=of
personal ^jj+atrb+++=personal
discrimination ^nn+nom+++=discrimination
was ^vbd+bedz+aux++=was
assessed ^vpsv++agls+xvbnx+=assessed
with ^in++++=with
the ^ati++++=the
sum ^nn++++=sum
of ^in++++=of
frequency ^nn++++=frequency
for ^in++++=for
having ^xvbg+++xvbg+=having
experienced ^jj+++xvbn+=experienced
8 ^zz++++=8
forms ^nns++++=forms
of ^in++++=of
everyday ^jjb+atrb+++=everyday
discrimination ^nn+nom+++=discrimination
because ^cs+cos+++=because
of ^in"++++=of
sexual ^jj+atrb+++=sexual
orientation ^nn+nom+++=orientation
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
ever ^rb++++=ever
been ^vprf+ben+aux+xvbn+=been,
, ^zz++++=EXTRAWORD
treated ^xvbn+++xvbn+=treated
with ^in++++=with
less ^rbr++++=less
respect ^nn++++=respect
) ^zz++++=).
. ^zz++++=EXTRAWORD
Lgbtq ^np+++??+=LGBTQ
+ ^zz++++=+
identity ^nn+nom+++=identity
importance ^nn+nom+++=importance
was ^vbd+bedz+aux++=was
assessed ^vpsv++by+xvbnx+=assessed
by ^in++++=by
the ^ati++++=the
rank ^nn++++=rank
of ^in++++=of
sexual ^jj+atrb+++=sexual
orientation ^nn+nom+++=orientation
( ^zz++++=(vs.
vs ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
11 ^cd++++=11
other ^ap++++=other
self ^nn++++=self-descriptive
- ^zz++++=EXTRAWORD
descriptive ^jj+atrb+++=EXTRAWORD
identities ^nns+nom+++=identities,
, ^zz++++=EXTRAWORD
roles ^nns++++=roles
or ^cc++++=or
traits ^nns++++=traits)
) ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
scale ^nn++++=scale
of ^in++++=of
3 ^zz++++=3
= ^zz++++==
Most ^ql+emph+++=Most
Important ^jj++++=Important
, ^zz++++=,
2 ^zz++++=2
= ^zz++++==
Second ^od++++=Second
most ^ql+emph+++=most
important ^jj++++=important
, ^zz++++=,
1 ^zz++++=1
= ^zz++++==
Third ^od++++=Third
most ^ql+emph+++=most
important ^jj++++=important
, ^zz++++=,
to ^in++++=to
0 ^zz++++=0
= ^zz++++==
listed ^vwbn+++xvbn+=Listed
but ^cc++++=but
not ^xnot++not++=not
ranked ^vbd+++xvbn+=ranked
. ^zz++++=.
