Morphology ^nn++++=Morphology
plants ^nns++++=plants
grown ^vbd+++xvbn+=grown
under ^in++++=under
I75 ^np+++??+=I75
exhibited ^vbd+++xvbn+=exhibited
Sla ^np+++??+=SLA
values ^nns++++=values
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
on ^in++++=on
average ^jj++++=average,
, ^zz++++=EXTRAWORD
1.4 ^cd++++=1.4
times ^nns++++=times
higher ^jjr++++=higher
than ^in++++=than
those ^dt+dem+++=those
of ^in++++=of
plants ^nns++++=plants
grown ^vbd+++xvbn+=grown
under ^in++++=under
I0 ^np+++??+=I0,
 ^zz++++=EXTRAWORD
I25 ^np++++=I25,
 ^zz++++=EXTRAWORD
And ^cc+cls+++=and
I50 ^np++++=I50
 ^zz++++=(Figure
Figure ^np++++=EXTRAWORD
d ^cd++++=4d).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
