Femicide ^np+++??+=Femicide
term ^nn++++=term
" ^zz++++="gendercide"
gendercide ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
introduced ^vpsv++agls+xvbnx+=introduced
in ^in++++=in
1985 ^cd+date+++=1985
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
deliberate ^jj+atrb+++=deliberate
extermination ^nn+nom+++=extermination
of ^in++++=of
individuals ^nns+nom+++=individuals
based ^xvbn+++xvbn+=based
on ^in++++=on
gender ^nn++++=gender.
. ^zz++++=EXTRAWORD
