Microorganisms ^nns+nom++??+=Microorganisms
after ^in++++=after
24 ^cd++++=24
hours ^nns++++=hours
for ^in++++=for
Escherichia ^np+++??+=Escherichia
coli ^&fw++++=coli,
, ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
faecalis ^nns+++??+=faecalis,
, ^zz++++=EXTRAWORD
Micrococcus ^np+++??+=Micrococcus
spp ^nn+++??+=spp.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Klebsiella ^np+++??+=Klebsiella
pneumoniae ^nn+++??+=pneumoniae.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
surface ^nn++++=surface
disinfection ^nn+nom+++=disinfection
test ^nn++++=test,
, ^zz++++=EXTRAWORD
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
bacterial ^jj+atrb+++=bacterial
load ^nn++++=load
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
for ^in++++=for
all ^abn++++=all
tested ^jj+atrb++xvbn+=tested
strains ^nns++++=strains.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
L ^zz++++=L.
. ^zz++++=EXTRAWORD
ferrea ^nn+++??+=ferrea
leaf ^nn++++=leaf
preparations ^nns+nom+++=preparations
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
effective ^jj+atrb+++=effective
alternative ^nn++++=alternative
disinfectant ^jj+atrb+++=disinfectant
agents ^nns++++=agents.
. ^zz++++=EXTRAWORD
