With ^in++++=With
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
steady ^jj+atrb+++=steady
income ^nn++++=income
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
all ^abn++++=all
outcomes ^nns+++??+=outcomes
except ^in++++=except
for ^in"++++=for
depression ^nn++++=depression
when ^wrb+who+++=when
considered ^vbd+vprv++xvbn+=considered
in ^in++++=in
isolation ^nn+nom+++=isolation.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
highlight ^vb++++=highlight
that ^tht+rel+obj++=that
these ^dt+dem+++=these
findings ^nns++++=findings
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
approximately ^rb+down+++=approximately
two ^cd++++=two
months ^nns++++=months
after ^in++++=after
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
quarantine ^nn++++=quarantine
and ^cc++++=and
social ^jj+atrb+++=social
distancing ^jj+atrb++xvbg+=distancing
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
a ^at++++=a
period ^nn++++=period
during ^in++++=during
which ^whp+rel+pied++=which
concerns ^vbz++++=concerns
related ^vbd+++xvbn+=related
to ^in++++=to
unemployment ^nn+nom+++=unemployment
and ^cc++++=and
income ^nn++++=income
instability ^nn+nom+++=instability
were ^vbd+bed+vrb++=were
already ^rb++++=already
prevalent ^jj+pred+++=prevalent
and ^cc++++=and
widely ^rb++++=widely
recognized ^vpsv++agls+xvbn+=recognized
within ^in++++=within
society ^nn++++=society.
. ^zz++++=EXTRAWORD
