Conversely ^rb+cnj+++=Conversely,
1 ^zz++++=EXTRAWORD
species ^nn++++=species).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
remaining ^jj+atrb++xvbg+=remaining
families ^nns++++=families
are ^vb+ber+aux++=are
typically ^rb++splt++=typically
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
humid ^jj++++=humid
and ^cc++++=and
partially ^rb+down+++=partially
shaded ^xvbn+++xvbn+=shaded
environments ^nns+nom+++=environments,
, ^zz++++=EXTRAWORD
including ^in++++=including
Asparagaceae ^np+++??+=Asparagaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Campanulaceae ^np+++??+=Campanulaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cyperaceae ^np+++??+=Cyperaceae
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Oxalidaceae ^np+++??+=Oxalidaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Typhaceae ^np+++??+=Typhaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Vitaceae ^np+++??+=Vitaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Portulacaceae ^np+++??+=Portulacaceae
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
species ^nn++++=species)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Tamaricaceae ^np+++??+=Tamaricaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species)
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
characteristic ^jj+pred+++=characteristic
of ^in++++=of
open ^jj++++=open,
, ^zz++++=EXTRAWORD
sandy ^np++++=sandy
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
The ^ati++++=The
arboreal ^jj+atrb+++=arboreal
families ^nns++++=families
Salicaceae ^np+++??+=Salicaceae
( ^zz++++=(3
3 ^zz++++=EXTRAWORD
species ^nn++++=species)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Ulmaceae ^np+++??+=Ulmaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species)
) ^zz++++=EXTRAWORD
form ^nn++++=form
dense ^jj+atrb+++=dense
groves ^np++++=groves
along ^in++++=along
riverbanks ^nns+++??+=riverbanks,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
often ^rb++++=often
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
access ^vb++++=access
and ^cc++++=and
produce ^nn++++=produce
leaf ^nn++++=leaf
litter ^nn++++=litter
in ^in++++=in
autumn ^nn++++=autumn
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
consumed ^vpsv++by+xvbnx+=consumed
by ^in++++=by
cattle ^nns++++=cattle.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Pp ^nns++++=PP,
, ^zz++++=EXTRAWORD
the ^ati++++=the
exclusive ^jj+atrb+++=exclusive
families ^nns++++=families
identified ^vwbn+++xvbn+=identified
were ^vbd+bed+vrb++=were
Schoepfiaceae ^np+++??+=Schoepfiaceae
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
species ^nn++++=species,
, ^zz++++=EXTRAWORD
Arjona ^np+++??+=Arjona
tuberosa ^nn+++??+=tuberosa
Cav. ^np+++??+=Cav.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Orobanchaceae ^np+++??+=Orobanchaceae
( ^zz++++=(Agalinis
agalinis ^nns+++??+=EXTRAWORD
communis ^nns+++??+=communis
( ^zz++++=(Cham.
cham ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
& ^zz++++=&
Schltdl ^np+++??+=Schltdl.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
D ^zz++++=D
Arcy ^np+++??+=Arcy),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Hydrophyllaceae ^np+++??+=Hydrophyllaceae
( ^zz++++=(Phacelia
phacelia ^nn+++??+=EXTRAWORD
Juss ^np+++??+=Juss.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
3 ^zz++++=3
species ^nn++++=species).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No
exclusive ^jj+atrb+++=exclusive
families ^nns++++=families
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
the ^ati++++=the
Fe ^&fo++++=FE,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
one ^cd1++++=one
exclusive ^jj+atrb+++=exclusive
family ^nn++++=family
( ^zz++++=(Apocynaceae,
apocynaceae ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
represented ^xvbn+++xvbn+=represented
by ^in++++=by
Tweedia ^np+++??+=Tweedia
brunonis ^nns+++??+=brunonis
Hook ^nn++++=Hook.
. ^zz++++=EXTRAWORD
& ^zz++++=&
arn ^np++++=Arn.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
vp ^np++++=VP.
. ^zz++++=EXTRAWORD
