As ^in++++=As
4.00 ^cd++++=4.00
in ^in++++=in
2017 ^cd++++=2017
to ^to++++=to
2.50 ^cd++++=2.50
in ^in++++=in
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso
increased ^vbd+++xvbn+=increased
its ^pp$+it+++=its
score ^nn++++=score
from ^in++++=from
1.17 ^cd++++=1.17
to ^to++++=to
1.33 ^cd++++=1.33.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
change ^nn++++=change
is ^vbz+bez+vrb++=is
the ^ati++++=the
primary ^jj+atrb+++=primary
factor ^nn++++=factor
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
reduced ^jj+atrb+++=reduced
gap ^nn++++=gap
between ^in++++=between
the ^ati++++=the
top ^jjb+atrb+++=top
two ^cd++++=two
brazilian ^jj+atrb+++=Brazilian
universities ^nns+nom+++=universities.
. ^zz++++=EXTRAWORD
