Thoropa ^np+++??+=Thoropa
not ^xnot++not++=not
detected ^vbd+++xvbn+=detected
during ^in++++=during
our ^pp$+pp1+++=our
fieldwork ^nn+++??+=fieldwork
and ^cc++++=and
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
recorded ^vpsv++agls+xvbnx+=recorded
at ^rb++++=at
Pnt ^np+++??+=PNT
since ^in++++=since
1972 ^cd+date+++=1972
( ^zz++++=(Matos
matos ^nns+++??+=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Lima ^np++++=Lima
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2012)
2012 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
C ^zz++++=C.
. ^zz++++=EXTRAWORD
eleutherodactylus ^nns+++??+=eleutherodactylus
may ^md+pos+++=may
be ^vb+be+vrb++=be
relatively ^rb++++=relatively
abundant ^jj+pred+++=abundant
in ^in++++=in
some ^dti++++=some
cave ^nn++++=cave
environments ^nns+nom+++=environments
and ^cc++++=and
highlighted ^vbd+++xvbn+=highlighted
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
including ^in++++=including
such ^abl++++=such
habitats ^nns++++=habitats
in ^in++++=in
amphibian ^jj+atrb+++=amphibian
surveys ^nns++++=surveys.
. ^zz++++=EXTRAWORD
