Epiphytic ^np+++??+=Epiphytic
and ^cc+cls+++=and
green ^nn++++=green
or ^cc++++=or
reddish ^jj++++=reddish
towards ^in++++=towards
the ^ati++++=the
apex ^nn++++=apex;
; ^zz++++=EXTRAWORD
peduncle ^nn+++??+=peduncle
bracts ^nns+++??+=bracts
are ^vb+ber+vrb++=are
imbricate ^nn+nom+++=imbricate,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
lower ^nn++++=lower
bracts ^vbz+++??+=bracts
green ^npl++++=green,
, ^zz++++=EXTRAWORD
foliaceous ^jj++++=foliaceous,
, ^zz++++=EXTRAWORD
suberect ^nn+++??+=suberect,
, ^zz++++=EXTRAWORD
sheaths ^nns+++??+=sheaths
approximately ^rb+down+++=approximately
5 ^zz++++=5
6.5 ^cd++++=6.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
broadly ^rb+down+++=broadly
ovate ^nn++++=ovate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blades ^nns++++=blades
approximately ^rb+down+++=approximately
40 ^cd++++=40
5.5 ^cd++++=5.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
narrowly ^rb++++=narrowly
triangular ^jj++++=triangular,
, ^zz++++=EXTRAWORD
decreasing ^jj+++xvbg+=decreasing
in ^in++++=in
size ^nn++++=size
towards ^in++++=towards
the ^ati++++=the
apex ^nn++++=apex;
; ^zz++++=EXTRAWORD
upper ^jjb+atrb+++=upper
bracts ^nns+++??+=bracts
have ^vb+hv+aux++=have
dilated ^vprf+++xvbnx+=dilated
sheaths ^nns+++??+=sheaths,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
6 ^zz++++=6
7 ^zz++++=7
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
orbicular ^nn+++??+=orbicular,
, ^zz++++=EXTRAWORD
reddish ^jj++++=reddish,
, ^zz++++=EXTRAWORD
with ^in++++=with
blades ^nns++++=blades
suberect ^nn+++??+=suberect
to ^in++++=to
patent ^jj++++=patent,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
10 ^cd++++=10
3 ^zz++++=3
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate,
, ^zz++++=EXTRAWORD
green ^nn++++=green,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
attenuate ^nn+nom+++=attenuate,
, ^zz++++=EXTRAWORD
mucronate ^nn+nom+++=mucronate
apex ^nn++++=apex.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inflorescence ^nn+nom+++=inflorescence
is ^vbz+bez+vrb++=is
a ^at++++=a
compound ^nn++++=compound,
, ^zz++++=EXTRAWORD
heterothetic ^jj+atrb+++=heterothetic
double ^jj+atrb+++=double
raceme ^nn+++??+=raceme,
, ^zz++++=EXTRAWORD
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
35 ^cd++++=35
100 ^cd++++=100
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
branches ^nns++++=branches
number ^nn++++=number
10 ^cd++++=10
21 ^cd++++=21,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
with ^in++++=with
bracts ^nns+++??+=bracts
bearing ^xvbg+++xvbg+=bearing
undeveloped ^vprf+++xvbn+=undeveloped
branches ^nns++++=branches
at ^in++++=at
the ^ati++++=the
base ^nn++++=base
and ^cc++++=and
middle ^jjb+atrb+++=middle
portions ^nns+nom+++=portions
of ^in++++=of
the ^ati++++=the
inflorescence ^nn+nom+++=inflorescence;
; ^zz++++=EXTRAWORD
branches ^nns++++=branches
are ^vb+ber+vrb++=are
13 ^cd++++=13
30 ^cd++++=30
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
patent ^nn++++=patent
with ^in++++=with
an ^at++++=an
ascending ^nn++++=ascending
to ^in++++=to
slightly ^rb+down+++=slightly
sigmoid ^jj+atrb++??+=sigmoid
apical ^jj+atrb+++=apical
portion ^nn+nom+++=portion,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
( ^zz++++=(8
8 ^zz++++=EXTRAWORD
) ^zz++++=)10
10 ^cd++++=EXTRAWORD
20 ^cd++++=20
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
Primary ^jj+atrb+++=Primary
bracts ^nns+++??+=bracts
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
longer ^rbr++++=longer
than ^in++++=than
the ^ati++++=the
peduncles ^nns+++??+=peduncles
of ^in++++=of
the ^ati++++=the
branches ^nns++++=branches
but ^cc++++=but
shorter ^jjr++++=shorter
than ^in++++=than
the ^ati++++=the
branches ^nns++++=branches
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
measuring ^vbg+++xvbg+=measuring
4.5 ^cd++++=4.5
12 ^cd++++=12
6 ^zz++++=6
8 ^zz++++=8
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lower ^jjr+atrb+++=lower
bracts ^nns+++??+=bracts
are ^vb+ber+vrb++=are
distinctly ^rb++++=distinctly
larger ^jjr+pred+++=larger,
, ^zz++++=EXTRAWORD
similar ^jj++++=similar
to ^in++++=to
the ^ati++++=the
peduncle ^nn+++??+=peduncle
bracts ^nns+++??+=bracts,
, ^zz++++=EXTRAWORD
with ^in++++=with
sheaths ^nns+++??+=sheaths
approximately ^rb+down+++=approximately
7 ^zz++++=7
8 ^zz++++=8
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
reddish ^jj++++=reddish,
, ^zz++++=EXTRAWORD
dilated ^xvbn+++xvbn+=dilated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blades ^nns++++=blades
10 ^cd++++=10
3 ^zz++++=3
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate,
, ^zz++++=EXTRAWORD
green ^nn++++=green,
, ^zz++++=EXTRAWORD
patent ^jj++++=patent,
, ^zz++++=EXTRAWORD
decreasing ^jj+++xvbg+=decreasing
in ^in++++=in
size ^nn++++=size
towards ^in++++=towards
the ^ati++++=the
apex ^nn++++=apex;
; ^zz++++=EXTRAWORD
upper ^jjb+atrb+++=upper
bracts ^nns+++??+=bracts
are ^vb+ber+vrb++=are
shorter ^jjr+pred+++=shorter
than ^in++++=than
the ^ati++++=the
peduncle ^nn+++??+=peduncle
of ^in++++=of
the ^ati++++=the
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
4.5 ^cd++++=4.5
6 ^zz++++=6
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
orbicular ^nn+++??+=orbicular,
, ^zz++++=EXTRAWORD
red ^jj++++=red,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
mucronate ^nn+nom+++=mucronate
apex ^nn++++=apex
and ^cc++++=and
lacking ^jj+atrb++xvbg+=lacking
blades ^nns++++=blades.
. ^zz++++=EXTRAWORD
The ^ati++++=The
peduncle ^nn+++??+=peduncle
of ^in++++=of
the ^ati++++=the
branches ^nns++++=branches
is ^vbz+bez+vrb++=is
2 ^zz++++=2
8.5 ^cd++++=8.5
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
a ^at++++=a
sterile ^jj+atrb+++=sterile
bract ^nn+++??+=bract;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lower ^jjr+atrb+++=lower
branches ^nns++++=branches
may ^md+pos+++=may
have ^vb+hv+vrb++=have
up ^rp++++=up
to ^to++++=to
two ^cd++++=two
sterile ^jj+atrb+++=sterile
bracts ^nns+++??+=bracts,
, ^zz++++=EXTRAWORD
similar ^jj++++=similar
to ^in++++=to
the ^ati++++=the
floral ^jj+atrb+++=floral
bracts ^nns+++??+=bracts,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
3.5 ^cd++++=3.5
2.2 ^cd++++=2.2
4 ^zz++++=4
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
carinate ^nn+nom+++=carinate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rachilla ^nn+++??+=rachilla
is ^vbz+bez+vrb++=is
red ^jj+pred+++=red
or ^cc+phrs+++=or
reddish ^jj++++=reddish-green,
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
slightly ^rb+down+++=slightly
geniculate ^nn+nom+++=geniculate,
, ^zz++++=EXTRAWORD
with ^in++++=with
internodes ^nns+++??+=internodes
0.8 ^nn+++??+=0.8
1.1 ^cd++++=1.1
cm ^nnu++++=cm
long ^jj++++=long
in ^in++++=in
flowering ^jj+atrb+++=flowering
branches ^nns++++=branches
and ^cc++++=and
up ^rp++++=up
to ^to++++=to
2.2 ^cd++++=2.2
cm ^nnu++++=cm
in ^in++++=in
fruiting ^xvbg+++xvbg+=fruiting
branches ^nns++++=branches.
. ^zz++++=EXTRAWORD
Floral ^jj+atrb+++=Floral
bracts ^nns+++??+=bracts
are ^vb+ber+vrb++=are
2.1 ^cd++++=2.1
3.5 ^cd++++=3.5
2 ^zz++++=2
3 ^zz++++=3
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
orbicular ^nn+++??+=orbicular
to ^in++++=to
broadly ^rb+down+++=broadly
ovate ^vb++++=ovate,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
completely ^rb+amp+++=completely
enclosing ^vbg+++xvbg+=enclosing
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
rachilla ^nn+++??+=rachilla,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
obtuse ^jj++++=obtuse,
, ^zz++++=EXTRAWORD
apiculate ^nn+nom+++=apiculate,
, ^zz++++=EXTRAWORD
carinate ^nn+nom+++=carinate,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
apex ^nn++++=apex;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
equal ^jj+pred+++=equal
in ^in++++=in
length ^nn++++=length
to ^in++++=to
the ^ati++++=the
sepals ^nn++++=sepals
or ^cc++++=or,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
distal ^jj+atrb+++=distal
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
branch ^nn++++=branch,
, ^zz++++=EXTRAWORD
red ^jj++++=red
with ^in++++=with
a ^at++++=a
yellow ^jj+atrb+++=yellow
apex ^nn++++=apex
and ^cc++++=and
shorter ^jjr++++=shorter
than ^in++++=than
the ^ati++++=the
sepals ^nn++++=sepals,
, ^zz++++=EXTRAWORD
suberect ^nn+++??+=suberect
and ^cc++++=and
imbricate ^nn+nom+++=imbricate
before ^in++++=before
anthesis ^nns+++??+=anthesis,
, ^zz++++=EXTRAWORD
subpatent ^jj++++=subpatent
and ^cc+phrs+++=and
spaced ^jj+++xvbn+=spaced
after ^in++++=after
anthesis ^nns+++??+=anthesis,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
exposing ^vbg+++xvbg+=exposing
the ^ati++++=the
rachilla ^nn+++??+=rachilla.
. ^zz++++=EXTRAWORD
Flowers ^nns+nom+++=Flowers
are ^vb+ber+vrb++=are
distichous ^jj+pred+++=distichous,
, ^zz++++=EXTRAWORD
suberect ^nn+++??+=suberect
at ^rb++++=at
anthesis ^nns+++??+=anthesis;
; ^zz++++=EXTRAWORD
sepals ^nn++++=sepals
are ^vb+ber+vrb++=are
approximately ^rb+down+++=approximately
2.5 ^cd++++=2.5
1 ^zz++++=1
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
narrowly ^rb++++=narrowly
ovate ^nn++++=ovate,
, ^zz++++=EXTRAWORD
yellow ^jj++++=yellow,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
acute ^jj++++=acute,
, ^zz++++=EXTRAWORD
mucronate ^nn+nom+++=mucronate
apex ^nn++++=apex,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+aux++=are
not ^xnot++not++=not
carinate ^nn+nom+++=carinate;
; ^zz++++=EXTRAWORD
petals ^nns++++=petals
are ^vb+ber+vrb++=are
approximately ^rb+down+++=approximately
3.2 ^cd++++=3.2
3.5 ^cd++++=3.5
0.7 ^nn+++??+=0.7
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
ligulate ^nn+nom+++=ligulate,
, ^zz++++=EXTRAWORD
yellow ^jj++++=yellow
with ^in++++=with
a ^at++++=a
slightly ^rb+down+++=slightly
orange ^jj+atrb+++=orange
apex ^nn++++=apex,
, ^zz++++=EXTRAWORD
rounded ^j+++xvbn+=rounded
at ^rb++++=at
the ^ati++++=the
apex ^nn++++=apex;
; ^zz++++=EXTRAWORD
petal ^jj+atrb+++=petal
appendages ^nns+nom+++=appendages
number ^nn++++=number
two ^cd++++=two,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
bilateral ^jj+pred+++=bilateral
to ^in++++=to
the ^ati++++=the
antepetalous ^jj+atrb+++=antepetalous
filament ^nn+nom+++=filament,
, ^zz++++=EXTRAWORD
longitudinally ^rb++++=longitudinally
adnate ^nn++++=adnate
to ^in++++=to
the ^ati++++=the
petal ^nn++++=petal
for ^in++++=for
approximately ^rb+down+++=approximately
4 ^zz++++=4
mm ^nnu++++=mm,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
superior ^jj+atrb+++=superior
free ^jj+atrb+++=free
portion ^nn+nom+++=portion
ovate ^nn++++=ovate
to ^in++++=to
rhombic ^jj++++=rhombic-ovate,
- ^zz++++=EXTRAWORD
ovate ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
rounded ^vbd+++xvbn+=rounded
or ^cc++++=or
obtuse ^jj++++=obtuse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
margins ^nns++++=margins
entire ^jjb++++=entire.
. ^zz++++=EXTRAWORD
Stamens ^np+++??+=Stamens
are ^vb+ber+vrb++=are
approximately ^rb+down+++=approximately
2.8 ^cd++++=2.8
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
with ^in++++=with
three ^cd++++=three
free ^jj++++=free
in ^in++++=in
the ^ati++++=the
outer ^jjb+atrb+++=outer
whorl ^nn+++??+=whorl
and ^cc++++=and
three ^cd++++=three
in ^in++++=in
the ^ati++++=the
inner ^jjb+atrb+++=inner
whorl ^nn+++??+=whorl
epipetalous ^jj++++=epipetalous,
, ^zz++++=EXTRAWORD
adnate ^nn++++=adnate
for ^in++++=for
approximately ^rb+down+++=approximately
0.4 ^jj+atrb++??+=0.4
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
anthers ^nns+nom+++=anthers
are ^vb+ber+vrb++=are
approximately ^rb+down+++=approximately
0.5 ^jj+atrb++??+=0.5
cm ^nnu++++=cm
long ^jj++++=long
and ^cc+phrs+++=and
linear ^jj++++=linear.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gynoecium ^nn+++??+=gynoecium
is ^vbz+bez+vrb++=is
3 ^zz++++=3
3.4 ^cd++++=3.4
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
cylindrical ^jj+atrb+++=cylindrical
ovary ^nn++++=ovary
and ^cc++++=and
axile ^jj+atrb++??+=axile
placentation ^nn+nom+++=placentation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fruit ^nn++++=fruit
is ^vbz+bez+vrb++=is
a ^at++++=a
capsule ^nn++++=capsule,
, ^zz++++=EXTRAWORD
3.5 ^cd++++=3.5
4.5 ^cd++++=4.5
1.4 ^cd++++=1.4
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
seeds ^nns++++=seeds
are ^vb+ber+vrb++=are
approximately ^rb+down+++=approximately
1.7 ^cd++++=1.7
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
funicle ^nn++++=funicle
approximately ^rb+down+++=approximately
1 ^zz++++=1
cm ^nnu++++=cm
long ^jj++++=long.
. ^zz++++=EXTRAWORD
