Despite ^in++++=Despite
for ^in+ppvb+++=for
situations ^nns+nom+++=situations
in ^in++++=in
which ^whp+rel+pied++=which
reprisals ^nns+nom+++=reprisals
against ^in++++=against
women ^nns++++=women
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
femicide ^nn+++??+=femicide.
. ^zz++++=EXTRAWORD
In ^in++++=In
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
persistence ^nn+nom+++=persistence
of ^in++++=of
this ^dt+dem+++=this
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Femicide ^np+++??+=Femicide
Law ^nn++++=Law
was ^vbd+bedz+aux++=was
enacted ^vpsv++agls+xvbnx+=enacted
to ^to++++=to
impose ^vbi++++=impose
stricter ^jjr+atrb+++=stricter
penalties ^nns++++=penalties
on ^in++++=on
perpetrators ^nns++++=perpetrators
and ^cc++++=and
to ^in++++=to
further ^jjb+atrb+++=further
highlight ^nn++++=highlight
the ^ati++++=the
severity ^nn+nom+++=severity
of ^in++++=of
this ^dt+dem+++=this
crime ^nn++++=crime.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
amendment ^nn+nom+++=amendment
of ^in++++=of
Article ^nn++++=Article
121 ^cd++++=121
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Penal ^jj+atrb+++=Penal
Code ^nn++++=Code,
, ^zz++++=EXTRAWORD
femicide ^nn+++??+=femicide
was ^vbd+bedz+aux++=was
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
a ^at++++=a
heinous ^jj+atrb+++=heinous
crime ^nn++++=crime
( ^zz++++=(Femicide
femicide ^nn+++??+=EXTRAWORD
Law ^nn++++=Law,
, ^zz++++=EXTRAWORD
Law ^nn++++=Law
n ^zz++++=n.
. ^zz++++=EXTRAWORD
13.104 ^cd++++=13.104,
, ^zz++++=EXTRAWORD
march ^nr++++=March
9th ^cd++++=9th,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
teles ^np++++=Teles,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
