Authorization ^np+nom++??+=Authorization
1952 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
modifications ^nns+nom+++=modifications:
: ^zz++++=EXTRAWORD
corticicolous ^jj++++=corticicolous
( ^zz++++=(on
on ^in++++=EXTRAWORD
trunks ^nns++++=trunks
or ^cc++++=or
living ^jj+atrb++xvbg+=living
branches ^nns++++=branches),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
epixylous ^jj++++=epixylous
( ^zz++++=(on
on ^in++++=EXTRAWORD
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
fallen ^vprf+++xvbn+=fallen
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
leaves ^nns++++=leaves),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
epiphyllous ^jj++++=epiphyllous
( ^zz++++=(on
on ^in++++=EXTRAWORD
leaves ^nns++++=leaves),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
rupicolous ^jj++++=rupicolous
( ^zz++++=(on
on ^in++++=EXTRAWORD
rocks ^nns++++=rocks),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
terricolous ^jj++++=terricolous
( ^zz++++=(on
on ^in++++=EXTRAWORD
soil ^nn++++=soil),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
others ^aps++++=others
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
termite ^nn++++=termite
mounds ^nns++++=mounds,
, ^zz++++=EXTRAWORD
anthropogenic ^jj+atrb+++=anthropogenic
substrates ^nns+nom+++=substrates).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Identification ^nn+nom+++=Identification
was ^vbd+bedz+aux++=was
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
specialized ^vbd+++xvbn+=specialized
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
including ^in++++=including
Reese ^np+++??+=Reese
( ^zz++++=(1993),
1993 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sharp ^jj++++=Sharp
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(1994),
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Buck ^nn++++=Buck
( ^zz++++=(1998),
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Gradstein ^np+++??+=Gradstein
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2001),
2001 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Vaz ^np+++??+=Vaz-Imbassahy
- ^zz++++=EXTRAWORD
imbassahy ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2008),
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Peralta ^np+++??+=Peralta
& ^zz++++=&
Yano ^np+++??+=Yano
( ^zz++++=(2010),
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Costa ^np++++=Costa
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2010),
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Costa ^np++++=Costa
( ^zz++++=(2015).
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Moss ^np++++=Moss
classification ^nn+nom+++=classification
followed ^vbd+vprv++xvbn+=followed
Goffinet ^np+++??+=Goffinet
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009),
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in"++++=for
the ^ati++++=the
Sematophyllaceae ^np+++??+=Sematophyllaceae
family ^nn++++=family,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
followed ^vbn+vprv++xvbn+=followed
Carvalho ^np+++??+=Carvalho-Silva
- ^zz++++=EXTRAWORD
silva ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017).
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Taxon ^np+++??+=Taxon
names ^nns++++=names
were ^vbd+bed+aux++=were
verified ^vpsv++agls+xvbnx+=verified
and ^cc++++=and
updated ^jj+++xvbn+=updated
using ^jj+++xvbg+=using
the ^ati++++=the
Tropicos ^np+++??+=Tropicos
database ^nn+++??+=database
( ^zz++++=(Tropicos
tropicos ^nns+++??+=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Information ^nn+nom+++=Information
on ^in++++=on
global ^jj+atrb+++=global
and ^cc+phrs+++=and
Brazilian ^jj+atrb+++=Brazilian
state ^nn++++=state
distributions ^nns+nom+++=distributions,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
phytogeographic ^jj+atrb+++=phytogeographic
domains ^nns++++=domains,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
Flora ^np++++=Flora
do ^vb+do+vrb++=do
Brasil ^np+++??+=Brasil
2020 ^cd++++=2020
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
cross ^jj++++=cross-checked
- ^zz++++=EXTRAWORD
checked ^vbd+++xvbn+=EXTRAWORD
with ^in++++=with
the ^ati++++=the
Global ^jj+atrb+++=Global
Biodiversity ^np+nom++??+=Biodiversity
Information ^nn+nom+++=Information
Facility ^nn+nom+++=Facility
( ^zz++++=(GBIF
gbif ^nn+++??+=EXTRAWORD
2021 ^cd++++=2021)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Splink ^np+++??+=Splink
( ^zz++++=(Splink
splink ^nn+++??+=EXTRAWORD
2021 ^cd++++=2021)
) ^zz++++=EXTRAWORD
databases ^nns+++??+=databases,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
only ^rb+down+++=only
records ^vbz+vpub+++=records
identified ^vpsv++by+xvbn+=identified
by ^in++++=by
specialists ^nns+nom+++=specialists
and ^cc++++=and
with ^in++++=with
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
collection ^nn+nom+++=collection.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
on ^in++++=on
conservation ^nn+nom+++=conservation
status ^nn++++=status
and ^cc++++=and
endemism ^nn+nom+++=endemism
were ^vbd+bed+aux++=were
sourced ^vpsv++agls+xvbnx+=sourced
from ^in++++=from
relevant ^jj+atrb+++=relevant
literature ^nn++++=literature
( ^zz++++=(Yano
yano ^np++++=EXTRAWORD
& ^zz++++=&
Peralta ^np+++??+=Peralta
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
Martinelli ^np+++??+=Martinelli
& ^zz++++=&
moraes ^np++++=Moraes
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
flora ^np++++=Flora
do ^vb+do+vrb++=do
brasil ^np++++=Brasil
2020 ^cd++++=2020
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
