Equation ^nn+nom+++=Equation
y_{t ^nn+++??+=y_{t-1}
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
} ^zz++++=EXTRAWORD
\ ^zz++++=\)
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
its ^pp$+it+++=its
lagged ^vprf+++xvbn+=lagged
value ^nn++++=value,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
\ ^zz++++=\(
( ^zz++++=EXTRAWORD
\delta ^nn+++??+=\Delta
y_{t ^nn+++??+=y_{t-1}
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
} ^zz++++=EXTRAWORD
\ ^zz++++=\)
) ^zz++++=EXTRAWORD
represents ^vbz++++=represents
the ^ati++++=the
first ^od++++=first
difference ^nn+nom+++=difference
of ^in++++=of
\ ^zz++++=\(
( ^zz++++=EXTRAWORD
y_{t ^nn+++??+=y_{t-1}
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
} ^zz++++=EXTRAWORD
\ ^zz++++=\).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
parameters ^nns+nom+++=parameters
\ ^zz++++=\(
( ^zz++++=EXTRAWORD
\beta_0 ^nn+++??+=\beta_0,
, ^zz++++=EXTRAWORD
\beta_1 ^nn+++??+=\beta_1,
, ^zz++++=EXTRAWORD
\beta_2 ^nn+++??+=\beta_2,
, ^zz++++=EXTRAWORD
\beta_3 ^nn+++??+=\beta_3,
, ^zz++++=EXTRAWORD
\beta_4 ^nn+++??+=\beta_4,
, ^zz++++=EXTRAWORD
\beta_5 ^nn+++??+=\beta_5,
, ^zz++++=EXTRAWORD
\ ^zz++++=\)
) ^zz++++=EXTRAWORD
and ^cc++++=and
\ ^zz++++=\(
( ^zz++++=EXTRAWORD
\beta_6 ^nn+++??+=\beta_6
\ ^zz++++=\)
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
coefficients ^nns++++=coefficients
to ^to++++=to
be ^vbi+vbi+aux++=be
estimated ^vpsv++agls+xvbnx+=estimated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
\ ^zz++++=\(
( ^zz++++=EXTRAWORD
\varepsilon_t ^nn+++??+=\varepsilon_t
\ ^zz++++=\)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
error ^nn++++=error
term ^nn++++=term.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
specification ^nn+nom+++=specification
allows ^vbz++++=allows
for ^in+ppvb+++=for
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
both ^abx++++=both
linear ^jj+atrb+++=linear
and ^cc+phrs+++=and
nonlinear ^jj+atrb++??+=nonlinear
dynamics ^nn++++=dynamics
in ^in++++=in
the ^ati++++=the
lagged ^vprf+++xvbn+=lagged
levels ^nns++++=levels
and ^cc++++=and
differences ^nns+nom+++=differences
of ^in++++=of
the ^ati++++=the
dependent ^jj+atrb+++=dependent
variable ^nn++++=variable.
. ^zz++++=EXTRAWORD
