These ^dt+dem+++=These
mez ^nn+++??+=mez
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Dresch ^np+++??+=Dresch
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Andriola ^np+++??+=Andriola
and ^cc++++=and
Ara ^np+++??+=Ara
jo ^np++++=jo
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rothen ^np++++=Rothen
and ^cc++++=and
santana ^np++++=Santana
( ^zz++++=(2018).
2018 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
