Rarefaction ^np+nom++??+=Rarefaction
460 ^cd++++=460
samples ^nns++++=samples
collected ^vwbn+++xvbn+=collected
throughout ^in++++=throughout
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Sampling ^nn+nom+++=Sampling
sufficiency ^nn++++=sufficiency
was ^vbd+bedz+aux++=was
inferred ^vpsv++agls+xvbnx+=inferred
when ^wrb+who+++=when
the ^ati++++=the
confidence ^nn+nom+++=confidence
intervals ^nns+nom+++=intervals
converged ^vbd+++xvbn+=converged
to ^to++++=to
zero ^cd++++=zero,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
criteria ^nns++++=criteria
of ^in++++=of
Colwell ^np+++??+=Colwell
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2004).
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Species ^nns++++=Species
richness ^nns+nom+++=richness
and ^cc++++=and
standard ^jj+atrb+++=standard
deviation ^nn+nom+++=deviation
were ^vbd+bed+vrb++=were
further ^jjb++++=further
estimated ^jj+++xvbn+=estimated
using ^jj+++xvbg+=using
the ^ati++++=the
Bootstrap ^np+++??+=Bootstrap
richness ^nns+nom+++=richness
estimator ^nn++++=estimator
( ^zz++++=(Smith
smith ^np++++=EXTRAWORD
& ^zz++++=&
van ^&fw++++=van
Belle ^np++++=Belle
1984 ^cd+date+++=1984)
) ^zz++++=EXTRAWORD
with ^in++++=with
1,000 ^cd++++=1,000
iterations ^nns+nom+++=iterations.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
rarefaction ^nn+nom+++=rarefaction
and ^cc++++=and
Bootstrap ^np+++??+=Bootstrap
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
Estimates ^nns+nom+++=EstimateS
version ^nn++++=version
8.2.0 ^cd++++=8.2.0
( ^zz++++=(Colwell
colwell ^nn+++??+=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Species ^nns++++=Species
abundance ^nn+nom+++=abundance
distributions ^nns+nom+++=distributions
were ^vbd+bed+aux++=were
examined ^vpsv++agls+xvbnx+=examined
using ^vbg+++xvbg+=using
rank ^nn++++=rank
abundance ^nn+nom+++=abundance
curves ^nns++++=curves
( ^zz++++=(Whittaker
whittaker ^nn+nom+++=EXTRAWORD
plots ^nns++++=plots;
; ^zz++++=EXTRAWORD
Whittaker ^nn+nom+++=Whittaker
1965 ^cd+date+++=1965),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
display ^vb++++=display
the ^ati++++=the
log ^&fo++++=log-transformed
- ^zz++++=EXTRAWORD
transformed ^vbd+++xvbn+=EXTRAWORD
abundance ^nn+nom+++=abundance
of ^in++++=of
each ^dt++++=each
species ^nns++++=species
in ^in++++=in
rank ^nn++++=rank
order ^nn++++=order
( ^zz++++=(Krebs
krebs ^nns+++??+=EXTRAWORD
1999 ^cd+date+++=1999),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
plots ^nns++++=plots
were ^vbd+bed+aux++=were
generated ^vpsv++agls+xvbnx+=generated
in ^in++++=in
Past ^jjb+atrb+++=PAST
Version ^nn++++=version
.17 ^cd++++=2.17
 ^zz++++=(Hammer
Hammer ^np++++=EXTRAWORD
Et ^&fw++++=et
Al ^&fw++++=al.
 ^zz++++=EXTRAWORD
001 ^cd++++=2001).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
