These ^dt+dem+++=These
cases ^nns++++=cases
in ^in++++=in
Canada ^np++++=Canada
and ^cc++++=and
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
regarding ^in++++=regarding
university ^npl+nom+++=university
practices ^nns++++=practices
in ^in++++=in
the ^ati++++=the
provision ^nn++++=provision
of ^in+emph+++=of
course ^nn+emph"+++=course
readings ^nns++++=readings.
. ^zz++++=EXTRAWORD
